dim,dim_r^2,dim_ci,max_dist,mean_dist,usage,length,n_seq_from_dim_log10,n_seq_from_dim_log20,n_seq_from_dim_log_alpha,n_seq_from_dim_log10_ci,n_seq_from_dim_log20_ci,n_seq_from_dim_log_alpha_ci
13.487525050883113,0.95839343417324,1.8475818759885985,0.8,0.499947027027027,2,50,22.914900494181044,17.61289176310375,76.12165174316831,3.1389861878594982,2.412693172579403,10.427486406913848
11.98396867910671,0.98893184307994,0.8335229211241038,0.84,0.4999365365365367,2,50,20.36040331870464,15.649449579610728,67.63579580764282,1.4161304409163895,1.0884687098960133,4.704283497705382
12.307329424441054,0.9931559702224338,0.6716970642151943,0.8,0.4998971771771773,2,50,20.909783525607427,16.07171517589501,69.46079735172823,1.1411931641021795,0.8771459289220855,3.790961633524435
11.983330470396991,0.9805998725417652,1.1081443080640525,0.82,0.499935975975976,2,50,20.35931902125032,15.648616164963924,67.63219384946612,1.8827039398765173,1.44708726635905,6.25420711223093
12.477516698716103,0.9914858312279208,0.7601835008842243,0.82,0.5001015815815816,2,50,21.198926599720448,16.29395684217224,70.42130985306638,1.2915289657934403,0.9926973014440824,4.290366356830049
21.92502477339396,0.969390881682005,2.561406139019085,0.92,0.6666862862862862,3,50,37.24995943432046,28.631130380133875,78.072311945539,4.35175219911556,3.344851551170149,9.120851683022332
19.142113503641767,0.9856912727794126,1.516290248703791,0.94,0.6665759759759757,3,50,32.521876662282814,24.997022951561743,68.16270778251408,2.576131650414943,1.980070912277632,5.3993227611051955
18.869765534783607,0.9899324786035169,1.251086697483946,0.94,0.6667640840840843,3,50,32.05916563245096,24.641373173021694,67.19291022003968,2.1255587718490347,1.633750781252553,4.454965589612915
19.27464853742348,0.9921272092088188,1.1288326213966449,0.94,0.6665242842842845,3,50,32.74704970920161,25.17009586123273,68.6346487088329,1.9178527636688971,1.4741034181076818,4.019633886978586
19.56688127148279,0.9882550375618094,1.402411020558774,0.94,0.6668219419419421,3,50,33.24354435865348,25.551712465851043,69.67525347028624,2.3826542576796204,1.8313599729602172,4.99381286017026
24.738690945395735,0.9849781647705504,2.008571605819503,0.98,0.7500372772772775,4,50,42.03029386276642,32.30539957021993,69.81080700954783,3.412502909848365,2.6229240841651715,5.66804464505508
23.70604939234017,0.9934984167987138,1.2608039651852605,0.98,0.7500284284284284,4,50,40.275866838894046,30.95690873625034,66.89676679903219,2.1420681181976713,1.6464402245426062,3.5578981315016738
25.30225668444782,0.9836737222806547,2.143086599139973,0.98,0.750169049049049,4,50,42.98777514888737,33.04134054722431,71.40114900189486,3.641039848633304,2.79858255441305,6.0476362838897
24.185574627793713,0.9907051211960094,1.5401693639288403,0.98,0.7498695895895896,4,50,41.09056583025179,31.58310413072467,68.24995253316604,2.616701550912385,2.0112538216899067,4.346247198955592
26.812087656997075,0.9807641506671676,2.468689278466081,0.98,0.7500986186186184,4,50,45.55293268286603,35.012976514517696,75.66178344186271,4.194229034139801,3.2237758146377513,6.966463632450646
26.559950735078154,0.9901811782565344,1.7388496328857772,1.0,0.800108908908909,5,50,45.12455961554018,34.68371964207546,64.55864963533865,2.9542533683236334,2.270703502739711,4.226581040669983
29.365806858311785,0.9843063805274256,2.4378150581303504,1.0,0.8000287887887888,5,50,49.89162500539666,38.34778996001122,71.37877833940932,4.141774659882133,3.1834582397682354,5.925539914715768
29.65911435217385,0.991279647590659,1.8288981060239535,1.0,0.8000495695695699,5,50,50.38994563951528,38.73081005622684,72.0917139890471,3.107243023121653,2.3882946845786366,4.445459753417251
26.931564729117028,0.9894784366670808,1.825832632883346,1.0,0.8000464464464465,5,50,45.75592064460373,35.16899748437558,65.46192305930096,3.1020348762066625,2.38429158939071,4.438008579714971
28.479862622920297,0.9899100021236577,1.8903750633478869,1.0,0.7999438638638637,5,50,48.38643232395211,37.19086607166045,69.22533445468297,3.211690529572861,2.468575313618172,4.594890352446214
32.376572859521275,0.9930719090686416,1.777909805314297,1.0,0.8333932332332334,6,50,55.00682613152629,42.27944498962419,70.68911873418806,3.020615429643881,2.3217108288900814,3.8817844579118255
32.97287166941373,0.9916610155249904,1.9878982123431688,1.0,0.833298938938939,6,50,56.01991992315483,43.05813094998247,71.9910427382028,3.3773794344442374,2.5959274157400114,4.340260884730474
32.582608075508034,0.9913393825923448,2.00221863865515,1.0,0.8332789989989988,6,50,55.35687378332469,42.548499241228704,71.13896399450965,3.401709409197598,2.614627964408718,4.371527267379561
31.887835358122956,0.9927550911630132,1.7909474729980062,1.0,0.8333960360360358,6,50,54.17647577665641,41.64121961616067,69.62203781070372,3.042766035965004,2.338736267500218,3.9102501402713954
30.166532698609803,0.9939039277220708,1.5532474689547089,1.0,0.8334481681681684,6,50,51.25203418975975,39.39343009813025,65.86384608967923,2.638920859064892,2.0283320660244404,3.391269830593799
33.07711796709273,0.9983095721851288,0.8948613852853234,1.0,0.8571689289289289,7,50,56.197031255974544,43.19426257908402,66.49764713100802,1.5203426516383418,1.168568485511692,1.7990133447862375
33.24043273269014,0.9979337223266256,0.9944262263000592,1.0,0.8572046446446449,7,50,56.474498143989706,43.40752967433923,66.82597221860433,1.689500330008862,1.298586762518588,1.9991767227153432
36.73309453273074,0.9837502651355204,3.1038493455710894,1.0,0.8572084884884885,7,50,62.40842577754893,47.9684757350262,73.84755711478883,5.2733469361032625,4.0532093446561985,6.239923282764093
36.58223172990297,0.9967794455768128,1.367094037691788,1.0,0.8571336936936939,7,50,62.152114400774494,47.77146922662235,73.54426523072517,2.3226517631449624,1.7852407483961168,2.7483814340709856
