dim,dim_r^2,dim_ci,num_var_sites,mean_alpha,max_dist,mean_dist,std_dist,mode,F,n_seq_from_dim_log10,n_seq_from_dim_log20,log10_nseq_ci,log20_nseq_ci
34.34146756673698,0.9925033661093298,1.9622232433974292,189,2.0,0.45,0.36696053511705684,0.022042454297648627,random_aa,0.1,73.15878801709582,56.23143836876658,4.180190436735339,3.2129854428160027
33.23353538527006,0.9630328722454746,4.2808129406678495,199,2.0,0.47,0.38096224451876626,0.0227198838962112,random_aa,0.1,71.42614943113128,54.89969460287417,9.200404989785822,7.071631722903046
34.61588858683621,0.9776672851996673,3.439640953933073,191,2.0,0.4533333333333333,0.3707402452619844,0.022360436845553604,random_aa,0.1,73.85434514782361,56.76605873343605,7.338607806039861,5.640613844798097
30.563688786411184,0.9668790986298156,3.7190598289393835,187,2.0,0.45666666666666667,0.3649684132292828,0.021995858267428014,random_aa,0.1,65.30606243809241,50.19566240266692,7.946591626979968,6.107923455619039
31.036505332172688,0.977720695445127,3.0801979958082404,186,2.0,0.47,0.3639997027127462,0.021948475183924676,random_aa,0.1,66.70425044993614,51.27034017066885,6.620020403353865,5.088291911344699
29.18850207483827,0.9642348640902941,3.6958364225034255,198,2.0,0.48,0.3798643626904496,0.022699992652796555,random_aa,0.1,62.99936807877529,48.42268686251429,7.976954711250886,6.131261183705333
32.72888578865399,0.9770563910164615,3.2973472078253434,185,2.0,0.45666666666666667,0.36414269788182835,0.02180455398563771,random_aa,0.1,69.93248340473001,53.75163035271906,7.045509596016162,5.415332174890005
35.6185666659239,0.973073581008245,3.8954291182383973,192,2.0,0.4633333333333333,0.37044087699739875,0.022269763797802548,random_aa,0.1,76.33111552891208,58.669758409341256,8.347962253725644,6.416425663933488
32.54107352052337,0.9677642500961138,3.904616506598223,193,2.0,0.45666666666666667,0.37282987736900786,0.02235630790417948,random_aa,0.1,69.53118106865102,53.44318063409887,8.343074396506822,6.412668750384137
34.32152306041527,0.962518034586398,4.452825749407853,191,2.0,0.4666666666666667,0.3720356001486436,0.022248325903634673,random_aa,0.1,73.65838286713436,56.615437855099394,9.556334178794154,7.345206652147228
55.40100043219279,0.9856022742765955,4.402264324195375,289,4.0,0.8,0.6961394277220364,0.02468393507087029,random_aa,0.2,131.8660840307748,101.35514513135946,10.478319033435778,8.053864298561512
62.901782715051326,0.9749480404633741,6.629113852374487,286,4.0,0.7866666666666666,0.6932652545522111,0.024492162936828467,random_aa,0.2,149.2603952127629,114.72479167291434,15.730303829354824,12.090654236858587
61.50351473922425,0.9834450815370909,5.246272082459363,288,4.0,0.7866666666666666,0.691909773318469,0.024504938184019113,random_aa,0.2,145.9424283495541,112.17453005383808,12.4489419953148,9.568528040709374
58.354017688481335,0.9776940601251023,5.794846633401996,293,4.0,0.7966666666666666,0.6994541806020067,0.02492818597023687,random_aa,0.2,138.7890731821745,106.6763054231839,13.78245106919969,10.593492167846453
59.24270503641975,0.9805832139994746,5.4807972109543766,284,4.0,0.7766666666666666,0.6814154589371981,0.02421481844390137,random_aa,0.2,140.24856854556626,107.79810535727913,12.974997729295733,9.972865938939353
57.21617790625656,0.9869245583660576,4.329796218793553,287,4.0,0.7866666666666666,0.6915499070977331,0.02456911959876326,random_aa,0.2,135.76895531782924,104.35497703382272,10.274225417989804,7.896993499174743
58.517681169771286,0.9763928024458213,5.982179625398096,292,4.0,0.7966666666666666,0.7007018208844296,0.024898410271410466,random_aa,0.2,139.1783300625364,106.97549674210752,14.228003464141548,10.935953445777612
67.62473295810763,0.9569981158932671,9.424453422223092,285,4.0,0.78,0.6872618357487922,0.024346309037105333,random_aa,0.2,160.2175896774749,123.14673006113728,22.32856449535424,17.162221139996735
59.053684912488876,0.9547225307477598,8.454966617547727,291,4.0,0.8033333333333333,0.7018867335562987,0.024750052467300672,random_aa,0.2,140.66688388839486,108.11963164354674,20.139874577400274,15.479946384419739
61.855139003551294,0.9735380148566147,6.704601177265562,285,4.0,0.7966666666666666,0.68899375696767,0.024402859509790514,random_aa,0.2,147.11613276890168,113.07666484185931,15.946209366702824,12.256603936763709
82.80245287553853,0.9725564774094598,9.144671794695773,297,6.21,0.9066666666666666,0.8114379784466742,0.02167463991820461,random_aa,0.3,201.58827694854324,154.94514163423463,22.263333588964937,17.11208324417058
82.00711242172537,0.9777690454954818,8.129706022594473,299,5.906666666666666,0.8833333333333333,0.8033601635079896,0.02224105906002463,random_aa,0.3,198.72339680941795,152.74313234261703,19.700276575571273,15.142061782762532
75.88278676030423,0.9874569635735924,5.622739115786752,295,5.956666666666667,0.8766666666666667,0.7951471571906354,0.02200331657842924,random_aa,0.3,183.6329860320207,141.14431384674074,13.60677984550637,10.458467437994882
83.15809536376415,0.9777591865871265,8.245677083473147,297,6.023333333333333,0.8833333333333333,0.8028525455221108,0.021995247029420635,random_aa,0.3,201.51251147468506,154.88690664033695,19.981302970341595,15.358064792460167
86.6823421321054,0.9769252256454823,8.75852784912553,299,6.043333333333333,0.8866666666666667,0.8069750278706801,0.022116921731607283,random_aa,0.3,210.19441965631384,161.5600104200834,21.238393345266296,16.32429184265446
73.02943735303292,0.972182317084775,8.121700694650817,297,6.086666666666667,0.8966666666666666,0.8069059085841693,0.022073938363639842,random_aa,0.3,177.44344191582476,136.3868953884237,19.733720780324965,15.167767727179767
69.94931007194899,0.9766262276436236,7.114527413273862,299,5.943333333333333,0.8933333333333333,0.8068370122630993,0.02213297689002973,random_aa,0.3,169.84635360400773,130.5476077954118,17.275031555241902,13.277965621711575
