fraction_allowed_subs,nseq,rep,sample,dist,dist_var,dim,dim_ci
0.070,100,0,0,0.061460656565656566,0.00011453354698306295,7.851630651469325,0.6847744797660463
0.070,1000,0,0,0.062168770990990996,0.00010675444891496232,7.668332940111989,0.7654117708252685
0.070,10000,0,0,0.06206207050945096,0.00010734664651964741,7.308381202070659,0.48192749432623655
0.070,100,1,0,0.07056365858585859,0.00013462758473596165,7.990313487367998,0.5301556052895224
0.070,1000,1,0,0.07021442746746744,0.00013068534140293724,7.992512998473502,0.6034758571591375
0.070,10000,1,0,0.07013951343194325,0.0001321717412389893,7.6453581780251625,0.6082296156987431
0.070,100,2,0,0.07294543636363637,0.00013266108105201106,8.915775548875612,0.5125597262245597
0.070,1000,2,0,0.07269682200200199,0.00012767489121023865,7.624364556809978,0.7535314172574724
0.070,10000,2,0,0.07284794330333053,0.00012864386817120103,7.722947810943866,0.7348174110599935
0.070,100,3,0,0.0793178484848485,0.00014319896407805326,8.565892423141522,0.8077195619820714
0.070,1000,3,0,0.08021020212212211,0.00014335624810729483,8.142219955562263,0.7148420737062762
0.070,10000,3,0,0.08010312313911402,0.00014215206372896985,7.875408040507083,0.9023173333460281
0.070,100,4,0,0.07359461616161617,0.0001367766006506479,8.661287742859157,0.6628567159656121
0.070,1000,4,0,0.07340160216216217,0.00013848355271235574,7.661309279769012,0.7452276457067333
0.070,10000,4,0,0.07372497763836391,0.00013696774206819887,7.382165378118806,0.5673674274728737
0.070,100,5,0,0.06520938383838384,0.00011427351054963781,8.627264888450773,0.8051492924513696
0.070,1000,5,0,0.06424416392392392,0.00010897814843711296,7.734767942595767,0.7369952317632346
0.070,10000,5,0,0.0642804175217523,0.00010851010461146611,7.596221135064263,0.7691939117990245
0.070,100,6,0,0.07584442626262626,0.00013435609420617896,8.273155234322237,0.8087929107285815
0.070,1000,6,0,0.07570903533533532,0.00013675136039975242,8.138710891583475,0.707006919264053
0.070,10000,6,0,0.07570028936793707,0.00013695354348260418,7.544840803136805,0.5969894366996019
0.070,100,7,0,0.06342426262626263,0.00011720651811284562,7.013315064491383,0.5523909132562477
