fraction_allowed_subs,nseq,rep,sample,dist,dist_var,dim,dim_ci
0.070,100,0,0,0.0549057292929293,0.00010905844713479848,7.1219549716763835,0.3465890721164618
0.070,1000,0,0,0.05451974106106106,0.00011576165092434199,7.083952274681443,0.5903181625571495
0.070,10000,0,0,0.05490076998479853,0.0001163178668769601,6.6204815660589205,0.3642984383928084
0.070,100,1,0,0.060337329292929294,0.00014040976737237425,7.172096857750796,0.5463832999129713
0.070,1000,1,0,0.06032696080080082,0.00013049896220270767,7.610150606438438,0.4258810445718414
0.070,10000,1,0,0.060605542435243485,0.00013145091170099516,7.565442220541063,0.2855623796777323
0.070,100,2,0,0.06409633333333334,0.0001497590506161616,7.7282492058829835,0.49758994465739625
0.070,1000,2,0,0.06382997519519518,0.00013589179576935473,7.617026377344835,0.3332902597576405
0.070,10000,2,0,0.06379497013541363,0.00013315242588284035,7.734086575700784,0.26103090814858865
0.070,100,3,0,0.06423699191919191,0.00013392545573932867,7.535221611270577,0.48552271608256786
0.070,1000,3,0,0.06445378110110112,0.00013261025536653778,8.569186525333368,0.6516316734108707
0.070,10000,3,0,0.0647182092307231,0.00013178953810101405,8.64974709327073,0.4412555227283802
0.070,100,4,0,0.0523104303030303,0.00010820885086534435,6.802490297962672,0.48694619254256394
0.070,1000,4,0,0.05282785935935936,0.00010536713098742744,7.497913985844506,0.49349225329343166
0.070,10000,4,0,0.052599950922492325,0.00010664856375462496,7.045086151190867,0.6524127580976778
0.070,100,5,0,0.06396841818181818,0.00012170858487158861,9.009581651295912,0.7015918631854294
0.070,1000,5,0,0.06448051997997999,0.0001266921333426338,8.648840510488085,0.5287624853551205
0.070,10000,5,0,0.064381392090209,0.0001293964945494518,8.434856761004152,0.25345719834608843
0.070,100,6,0,0.057563587878787875,0.0001161105431271258,7.536780013023447,0.5575064155493676
0.070,1000,6,0,0.058914206906906914,0.00011973841407911144,7.644456158092205,0.4580111714880606
0.070,10000,6,0,0.05886697343194337,0.00012004913772526456,7.24677461804612,0.2967603676153854
0.070,100,7,0,0.06817300404040404,0.0001453619765312968,8.15210853729938,0.733330533438804
0.070,1000,7,0,0.06808491147147146,0.00013892080284841894,8.491231340860095,0.43396300410816147
0.070,10000,7,0,0.06795222834903507,0.00013542029665667668,8.694915513425626,0.31216709912897556
0.070,100,8,0,0.060264642424242426,0.00012140411315496786,6.993535198203667,0.4342145634606196
0.070,1000,8,0,0.059844987547547565,0.00012665810085810315,7.791883240489678,0.4478874318687913
0.070,10000,8,0,0.06063059893849362,0.00012528256308959153,7.689707944336398,0.4506826187811774
0.070,100,9,0,0.05740533737373737,0.00011581241571446179,7.212953390491409,0.5637093857993306
0.070,1000,9,0,0.05860567757757757,0.00012128347349544317,7.819844071307662,0.4013382930802759
0.070,10000,9,0,0.05873943117911784,0.00012291503582575377,7.239406591337404,0.2881323537001687
0.126,100,0,0,0.200043098989899,0.0005741696201740393,10.864349858355164,0.5292327160400736
0.126,1000,0,0,0.20348849975975983,0.000566424016436166,14.871729344013456,0.6471099954834012
0.126,10000,0,0,0.20339794763756452,0.0005589131077127157,12.414783277207889,0.2201251901775685
0.126,100,1,0,0.2068134606060606,0.0006832776330141047,10.671191244647593,0.30783256566503947
0.126,1000,1,0,0.2085417548348348,0.0006659242830270612,11.416318981658902,0.21725078078139806
0.126,10000,1,0,0.20836012593299272,0.0006694568846596275,11.424065906482546,0.36554375851839066
0.126,100,2,0,0.18103964646464646,0.0005304564802992551,12.137059404439645,1.0173389450847758
0.126,1000,2,0,0.18295521401401404,0.0005683518736849286,11.700387519606585,0.2737732981767387
0.126,10000,2,0,0.1828562458159812,0.0005584792592802287,11.60404433029681,0.42022584459587964
0.126,100,3,0,0.20691044646464646,0.0006859952723461239,12.59966916451582,0.9540827098844687
0.126,1000,3,0,0.20852843399399396,0.0007029698800044821,12.738216572882475,0.9118120571291756
0.126,10000,3,0,0.2095540634301433,0.0006982865667180782,11.689465474476252,0.33024427603809686
0.126,100,4,0,0.20261550909090909,0.0006041709760539576,12.864788205364345,0.683382045662629
0.126,1000,4,0,0.20595466024024026,0.0006022066870399184,12.026042407914018,0.2580051454787372
0.126,10000,4,0,0.20579438571657052,0.0005969632680674919,12.491268194671589,0.2662469524124059
0.126,100,5,0,0.2076714060606061,0.0006791158530128925,9.11630323623469,0.23379347359447192
0.126,1000,5,0,0.2056556856256256,0.0006401825025495371,14.623837307328028,1.1475771377575392
0.126,10000,5,0,0.20571020816221647,0.0006307124429355637,11.75901812541852,0.3263309114993408
0.126,100,6,0,0.21270703636363633,0.0006238021119239301,13.580887364969088,1.4556998126377245
0.126,1000,6,0,0.2107024384184184,0.0006083569355321937,13.43017459775735,0.6790984310209242
0.126,10000,6,0,0.21126510525152586,0.0006179402884103488,13.129463685908645,0.2899091315799543
0.126,100,7,0,0.19551308686868685,0.0005952102083298276,11.168514895695209,0.495643763437354
0.126,1000,7,0,0.1976957392992993,0.0005794842913683517,11.202071906428959,0.24205012064963474
0.126,10000,7,0,0.19704157921392104,0.0005852326801440759,11.41947431353505,0.12943756787695523
0.126,100,8,0,0.18308492323232323,0.0005535345287920865,11.486139860100264,0.22813069094798333
0.126,1000,8,0,0.18716511519519505,0.0006061895989030464,11.099690355921044,0.33356358747446496
0.126,10000,8,0,0.1863187610419036,0.0005934354972582023,11.100105519636923,0.45226334201393376
0.126,100,9,0,0.2069299717171717,0.0005329845723628364,14.208167279894566,1.3158203383324172
0.126,1000,9,0,0.20579153747747744,0.0005832919447735002,12.954792721808648,0.37373838704042833
0.126,10000,9,0,0.20618225655745534,0.0005802934142058384,12.641036452224357,0.32345741132643735
0.182,100,0,0,0.30445656565656565,0.0010566049558012448,13.56314015223022,0.59479357419378
0.182,1000,0,0,0.30515271493493495,0.0011458813331690686,13.862975417767377,0.6500543570604633
0.182,10000,0,0,0.30338869575117433,0.0011564398547273295,13.742977284798108,0.46972177536680737
0.182,100,1,0,0.304980397979798,0.00131960144802343,14.070635976862068,1.6095722331946742
0.182,1000,1,0,0.3084513904904905,0.0010976454161756453,14.854764031995419,0.4455980017327504
0.182,10000,1,0,0.3079690612207217,0.0011396201334630885,13.882491595437541,0.41431554112036456
0.182,100,2,0,0.3145037070707071,0.0010519082078939905,13.98528303461664,0.7041455648299606
0.182,1000,2,0,0.31537241701701685,0.0011498632004266975,13.169151701825589,0.23855723315063673
0.182,10000,2,0,0.3136698832249224,0.0012419567098243046,13.111875120232893,0.1619415921657669
0.182,100,3,0,0.30107202020202023,0.001150496553332925,15.618652935163631,1.48234610329072
0.182,1000,3,0,0.30501463285285274,0.0012624433290105484,12.15752327012659,0.27350354016807327
0.182,10000,3,0,0.3050549423584357,0.0011927990440785822,13.205279242852809,0.2217081263838372
0.182,100,4,0,0.3288127777777778,0.001145186519819304,14.579237578338951,1.1234381733353256
0.182,1000,4,0,0.33215921163163165,0.0013138021736525494,13.79497716134328,0.5746170843424474
0.182,10000,4,0,0.3326422429028915,0.0013089943298046486,12.462943505233676,0.09717569705873416
0.182,100,5,0,0.3220160767676768,0.0011875981354769348,14.854359968500445,0.9844225107618083
0.182,1000,5,0,0.3294624935735735,0.0015925766972287375,12.837487957867117,0.8580321416622638
0.182,10000,5,0,0.3288811911765169,0.001438117207874314,12.799843653806922,0.1433363083964315
0.182,100,6,0,0.30560811717171715,0.001042604324495362,13.356724049464868,0.5840022800348122
0.182,1000,6,0,0.3092123846046046,0.0011503426967282757,13.87537696365532,0.40948040889653986
0.182,10000,6,0,0.30817912763516325,0.0011832495834744083,13.304791387315571,0.23039252703007163
0.182,100,7,0,0.34290306262626263,0.0011770835254890071,13.959201166045025,0.42431984393643374
0.182,1000,7,0,0.34032079869869875,0.001379193353156475,13.78456950708312,0.35033681348720475
0.182,10000,7,0,0.34034342697589776,0.0013604424808189625,14.185913076111818,0.4213784175286008
0.182,100,8,0,0.3231453434343434,0.0017973490622557903,10.84115230730941,0.5653158176986169
0.182,1000,8,0,0.33125025503503513,0.0014296264833677896,14.13018812374327,1.271718247782524
0.182,10000,8,0,0.3307930082450238,0.0013601641266275683,13.716682451130282,0.23029181216095554
0.182,100,9,0,0.3189447414141415,0.0012299181179836385,12.204879180069923,0.5644995181223521
0.182,1000,9,0,0.3152172861861862,0.0011636359791066858,12.91238678435392,0.19038788727922232
0.182,10000,9,0,0.31567132567296746,0.0011732799631927432,13.43777267324112,0.38396325928028113
0.238,100,0,0,0.4113744121212121,0.0017011629806948023,15.088612260675363,1.5516142000993565
0.238,1000,0,0,0.40276533325325325,0.001815310589602055,12.05043973873559,0.16221425758599817
0.238,10000,0,0,0.4056213095121508,0.0018601518862429924,12.518248505392668,0.23301929754550119
0.238,100,1,0,0.3996053636363636,0.002113024175251607,10.554408452662212,0.5484788815658326
0.238,1000,1,0,0.40490895289289297,0.001848488100947811,15.179716224662162,0.6330821765898798
0.238,10000,1,0,0.40419936429182923,0.0018153877290246884,14.779340120770973,0.7416815228771139
0.238,100,2,0,0.39965791515151516,0.0018558911514513863,13.000113155779406,0.8090693463110966
0.238,1000,2,0,0.40660608480480476,0.0020206101995957713,15.560096836522147,1.074832047146773
0.238,10000,2,0,0.4068768408092789,0.0020009785026153006,14.046069429639063,0.47975534434388095
0.238,100,3,0,0.3909117616161616,0.002089896572573476,9.244195071196405,0.3534069349526834
0.238,1000,3,0,0.39430495427427426,0.0019120497153754864,13.249088489488292,0.28465301141559857
0.238,10000,3,0,0.39584274258385843,0.001969657673127591,12.528942250506322,0.13288250040473287
0.238,100,4,0,0.4152881272727273,0.0015734641437454178,17.858362401721642,1.3650076025117093
0.238,1000,4,0,0.40058232242242237,0.002063930257218767,12.093011176174194,0.17519306194314496
0.238,10000,4,0,0.4023551663094304,0.0019426894867720958,12.4192304260085,0.1734553612954395
0.238,100,5,0,0.41215962626262626,0.0021988193034360778,10.26817456000369,0.30680670226815715
0.238,1000,5,0,0.4184911995395395,0.0020680768837504936,13.491105165828499,0.43358739353939596
0.238,10000,5,0,0.418273934598858,0.0019854243906137414,13.792695667808658,0.316617770129524
0.238,100,6,0,0.4227778161616162,0.0019284867796954962,13.869118694508154,0.8185172895021664
0.238,1000,6,0,0.41766768244244273,0.001845775224236535,14.381069003960043,0.28875486019169844
0.238,10000,6,0,0.4167748255557562,0.0019750981678788174,13.316701044055248,0.1268092101064769
0.238,100,7,0,0.4091050343434343,0.0021246861819281134,11.705437478928749,0.5908040224982332
0.238,1000,7,0,0.4145132798198197,0.002109181384718457,11.028789685597307,0.30212764855003
0.238,10000,7,0,0.4143231881558169,0.002091904742612391,13.13432858933316,0.3630981224770966
0.238,100,8,0,0.42750907272727273,0.002144645353948246,13.145883226950446,0.34918515558202456
