win_size,length,max_dist,mean_dist,usage,dim,dim_r^2,dim_ci,n_seq_from_dim_log10,n_seq_from_dim_log20,n_seq_from_dim_log_alpha,n_seq_from_dim_log10_ci,n_seq_from_dim_log20_ci,n_seq_from_dim_log_alpha_ci
0.4,100,0.72,0.5000265865865867,2,20.932928162125773,0.9952573519695511,1.146331437448311,41.865856324251546,32.17900929554302,139.07536434004896,2.292662874896622,1.762190635525325,7.616061216224318
0.4,100,0.72,0.49999847847847856,2,20.370170748518404,0.994690868619728,1.1805919280158057,40.74034149703681,31.313914077934044,135.33648501431205,2.3611838560316114,1.814857354481347,7.843682988545887
0.4,100,0.73,0.49993347347347344,2,21.23564486125756,0.991948743636165,1.5177146804764001,42.47128972251512,32.64435859592913,141.08657055532385,3.0354293609528002,2.3330971392428714,10.0834780741951
0.4,100,0.75,0.4999823623623623,2,20.570886485737795,0.9937771896893611,1.2913359637725903,41.14177297147559,31.62246305511109,136.6700115074223,2.5826719275451806,1.9850979117719056,8.579450435989234
0.4,100,0.74,0.5000102702702702,2,21.555920669082766,0.9873023742237736,1.9392786535519297,43.11184133816553,33.13670052331375,143.21443696357846,3.8785573071038595,2.981143647748441,12.884288486098983
0.4,100,0.87,0.6666426026026026,3,33.30132264868397,0.9946529960243551,1.9369499921231559,66.60264529736794,51.19224423674971,139.59270235508797,3.8738999842463118,2.9775639279317807,8.11931966125144
0.4,100,0.89,0.6666244244244245,3,31.48739768831406,0.9896414499230067,2.555552370236336,62.97479537662812,48.403799748282445,131.98907982757888,5.111104740472672,3.9285064583497302,10.712381160792669
0.4,100,0.89,0.6665435435435435,3,31.849737935501004,0.9904377531935138,2.482616936976158,63.69947587100201,48.96080496475637,133.50794004855075,4.965233873952316,3.81638693227692,10.406649934029225
0.4,100,0.87,0.6667571171171174,3,29.83385255600562,0.9935978830656251,1.8997798664568404,59.66770511201124,45.86189811985065,125.05773851359781,3.7995597329136808,2.9204243911183414,7.963509685071883
0.4,100,0.86,0.6666819619619618,3,31.04679613431784,0.9923774320700045,2.1585716622372964,62.09359226863568,47.726487840848115,130.14216334822353,4.317143324474593,3.318250416103079,9.048314829342859
0.4,100,0.93,0.7500481681681684,4,44.3952719909261,0.9850492959192036,4.338863932416043,88.7905439818522,68.24634656984823,147.4779013068234,8.677727864832086,6.669890697180586,14.413393996986315
0.4,100,0.92,0.7499681081081081,4,44.812374310846195,0.9896393130936888,3.6374013998912167,89.62474862169239,68.88753443071262,148.86348522180867,7.274802799782433,5.59157192687916,12.083185902681254
0.4,100,0.93,0.7500007007007011,4,43.11468078434385,0.9629084531472974,6.712860425967715,86.2293615686877,66.27776596701793,143.2238693996121,13.42572085193543,10.31930155083289,22.2996396460797
0.4,100,0.92,0.750069129129129,4,42.162323465509864,0.9969274311031204,1.8568680649087652,84.32464693101973,64.81376079879281,140.06020686580592,3.7137361298175304,2.8544584999535108,6.168382193319557
0.4,100,0.93,0.7500552552552552,4,43.94299938155619,0.9722385479364645,5.890631252778105,87.88599876311238,67.55109340754264,145.9754842192095,11.78126250555621,9.055335038254546,19.568253455225125
0.4,100,0.96,0.799954754754755,5,47.61687875861959,0.9868350370878554,4.363007238690793,95.23375751723918,73.19874087041059,136.24870441715987,8.726014477381586,6.707004839598844,12.484104358198884
0.4,100,0.96,0.800017157157157,5,50.688074578515305,0.9715134379780325,6.885553817330982,101.37614915703061,77.91991690805963,145.03648014671546,13.771107634661965,10.584773356923161,19.702000871616402
0.4,100,0.96,0.8000357957957955,5,45.721935727636804,0.9932251262619345,2.995634559697478,91.44387145527361,70.28575187354168,130.82660327053662,5.991269119394956,4.605019975990107,8.571568282227384
0.4,100,0.95,0.8000631031031032,5,51.02012130556601,0.9874767284329288,4.558001047522218,102.04024261113202,78.43035360537996,145.9865830838683,9.116002095044436,7.006757819132433,13.042050500728013
0.4,100,0.96,0.8000108708708707,5,50.53769448370007,0.9840872082968235,5.098111042750096,101.07538896740014,77.68874607369546,144.60618959380943,10.196222085500192,7.837038438377085,14.587495918635328
0.4,100,0.97,0.8333040640640641,6,54.652228300758495,0.9800159796524585,6.191133891222787,109.30445660151699,84.01378674265955,140.46685210314547,12.382267782445574,9.517280788077663,15.91241776754953
0.4,100,0.98,0.8333212012012013,6,55.34371744570613,0.9812699223588108,6.065705796996755,110.68743489141227,85.07677398700011,142.24411364351238,12.13141159399351,9.324467256269706,15.590043179924841
0.4,100,0.98,0.8333225025025023,6,52.88594031255449,0.9946740793366132,3.0699736365352517,105.77188062510898,81.2985718835239,135.92714857550044,6.139947273070503,4.719297244132314,7.8904291036522665
0.4,100,0.98,0.8332315515515517,6,53.77095306605192,0.9820997128132204,5.758871803594671,107.54190613210385,82.6590520514631,138.20180341428946,11.517743607189342,8.852788671725632,14.801420162867915
0.4,100,0.98,0.8333184984984987,6,57.26425201905987,0.9865647751987352,5.301279814614258,114.52850403811973,88.02910341791933,147.18026088328583,10.602559629228516,8.149358327297822,13.625319787125251
0.4,100,0.99,0.857097717717718,7,65.45704566857567,0.9907557298101389,5.015877117590739,130.91409133715135,100.62342280612776,154.90994551938948,10.031754235181477,7.710624865387341,11.870521241549964
0.4,100,0.99,0.8571331931931934,7,56.6796548733598,0.9886401831837405,4.819824239092655,113.3593097467196,87.13043521249995,134.13746616286937,9.63964847818531,7.4092438378146,11.406544592178546
0.4,100,0.99,0.8571254854854856,7,61.66388949864727,0.9880627180478002,5.376861547615823,123.32777899729454,94.79241785993885,145.93310261992087,10.753723095231646,8.265545860642112,12.724823140106006
