mean_dist,max_dist,dim,dim_r^2,dim_ci,number_of_samplings,number_of_syn_subs,num_of_attempts,length_scale,rep,type,n_seq_from_dim_log10,n_seq_from_dim_log20,n_seq_from_dim_log10_ci,n_seq_from_dim_log20_ci
0.9210051918585251,0.9866666666666667,39.072434002656514,0.9939949548517669,1.9966361187070556,866895,271274.0,1195019.0,2,0.0,starlike,96.55938228166248,74.2176449455213,4.9342702901616375,3.7925876471767515
0.9210542075408745,0.9866666666666667,39.15549455675385,0.9907686966404039,2.484851819774199,866298,271871.0,1195213.0,2,1.0,starlike,96.76464914051918,74.37541752535482,6.140793705417698,4.719947830475454
0.9209773440106771,0.99,38.69831389602242,0.9939401828603635,1.9865709789541923,866612,271557.0,1194700.0,2,2.0,starlike,95.69150526409133,73.55057576151819,4.912306200235387,3.775705569131317
0.9209666533199867,0.99,37.935525760663594,0.9927789059335042,2.1270796205229385,867373,270796.0,1195110.0,2,3.0,starlike,93.80531598292015,72.10080958590548,5.259749849859305,4.042758327931547
0.9206135201868535,0.9866666666666667,38.04147244629848,0.9901398328094596,2.495821952420777,865723,272446.0,1194196.0,2,4.0,starlike,94.01157553301444,72.25934516985181,6.1679041032964035,4.740785472934935
0.9211748214881547,0.9933333333333333,39.007375101225705,0.9899288631051866,2.5867019539213447,866977,271192.0,1195164.0,2,5.0,starlike,96.5126818943758,74.18175001039889,6.4000600447100195,4.919225587449847
0.9208922455789126,0.99,38.27293169394369,0.9924203183692543,2.199033256243135,866451,271718.0,1194540.0,2,6.0,starlike,94.6396386804764,72.74208818850254,5.437673666638243,4.17951444990561
0.9206725058391725,0.9933333333333333,37.876040318734816,0.9920009475509424,2.2360947776857967,866607,271562.0,1194983.0,2,7.0,starlike,93.71351497542167,72.03024933148828,5.532582066966176,4.252463114151815
0.9209941875208542,0.9866666666666667,39.02830841065667,0.9907927316932839,2.4735240090075865,867822,270347.0,1194606.0,2,8.0,starlike,96.45033507190769,74.13382888430964,6.112799380565725,4.698430782486344
0.9209130196863526,0.9866666666666667,38.071365311367636,0.992701723077229,2.146157751802046,866931,271238.0,1194812.0,2,9.0,starlike,94.08544952267965,72.31612632778932,5.303781862653284,4.076602292283428
0.935746726726727,0.9933333333333333,111.23428619937073,0.9947457948337026,5.314942106474573,1718205,558143.0,2383491.0,4,0.0,starlike,275.217680037396,211.53830500036898,13.150316202463102,10.10761953705136
0.9359170570570572,0.9933333333333333,112.91378178332312,0.996846432020144,4.175383118922414,1717274,559074.0,2383384.0,4,1.0,starlike,279.37311532665524,214.73226309749842,10.330800821587278,7.940478586979041
0.9360010944277611,0.9966666666666667,106.3757916062005,0.9906254135282304,6.803408377894428,1717836,558512.0,2383578.0,4,2.0,starlike,263.35148241467425,202.41768698059317,16.843002103558277,12.945898372590896
0.9359561961961963,0.9866666666666667,110.42547824524443,0.9953112605099911,4.982878415817744,1717541,558807.0,2383272.0,4,3.0,starlike,272.8935690771917,209.7519426813218,12.314146126224887,9.464920998950802
0.9360247981314648,0.9966666666666667,106.14178341961444,0.986342528168186,8.211454033855878,1718504,557844.0,2383438.0,4,4.0,starlike,262.7721550893111,201.9724033766072,20.32886016586741,15.625204825114404
0.9359344477811145,0.99,104.04444528813988,0.9939913359237051,5.318375173701293,1717555,558793.0,2384079.0,4,5.0,starlike,257.27657310187976,197.74837932970067,13.151046510658421,10.108180867841389
0.9358790323656991,0.99,120.04561694859922,0.9919514800374089,7.109212801664972,1717630,558718.0,2383241.0,4,6.0,starlike,296.84357352191233,228.16043789245464,17.579351804885547,13.511872795764342
0.9360761761761762,0.99,107.52757447154676,0.9881961948769863,7.726302090738329,1719214,557134.0,2384209.0,4,7.0,starlike,265.8895032539541,204.36846509311823,19.105263324246266,14.684721634335483
0.9356436169502835,0.99,112.6698541095617,0.9934207122876804,6.028273868518184,1717736,558612.0,2383598.0,4,8.0,starlike,278.6051083930481,214.1419562358836,14.90645308662876,11.45742460689482
0.9359635835835837,0.9933333333333333,108.6091660946071,0.9916758853246848,6.542037640816343,1717853,558495.0,2384296.0,4,9.0,starlike,268.7225651790363,206.54601821220393,16.18641593110685,12.441231935506687
0.9369643643643644,0.99,175.39136687749124,0.9822300295424302,15.509841877632764,2565258,849251.0,3572401.0,6,0.0,starlike,433.70013360087773,333.3513716411578,38.3520615308066,29.47823006281543
0.9368344144144145,0.99,159.2709145928222,0.9929363358969998,8.83188082325068,2566498,848011.0,3572693.0,6,1.0,starlike,393.838181248052,302.71260659678836,21.83909026529413,16.78600058267568
0.9369003870537204,0.9933333333333333,153.43698365035036,0.9907255517350153,9.76022479235756,2565302,849207.0,3571630.0,6,2.0,starlike,379.6362804584993,291.7967162353945,24.148906922291367,18.56137598885025
0.936799052385719,0.99,167.31033413062426,0.9866762109525071,12.782379881614453,2567403,847106.0,3571821.0,6,3.0,starlike,413.71770775891883,317.9924437851087,31.607712289884724,24.294376298183437
0.9369311978645315,0.99,165.4373972400337,0.9878286505548761,12.073262797223128,2566876,847633.0,3571983.0,6,4.0,starlike,409.0863909835469,314.43271280979917,29.854238446135057,22.946618099222942
0.9368651384718049,0.9933333333333333,157.1982822509799,0.9879632398949246,11.407608659297933,2567162,847347.0,3572472.0,6,5.0,starlike,388.9425466302242,298.9497151691166,28.224890879052072,21.694266060827818
0.9368575308641974,0.99,163.0925628074571,0.9797352914098265,15.420994099026851,2567374,847135.0,3572148.0,6,6.0,starlike,403.2881865178121,309.976086532881,38.13236261325132,29.30936468823722
