name	taxid	sp_number	accession_file
Parus_major	9157	062	GCF_001522545.3_Parus_major1.1_cds_from_genomic.fna.gz
Sturnus_vulgaris	9172	063	GCF_001447265.1_Sturnus_vulgaris-1.0_cds_from_genomic.fna.gz
Phalacrocorax_carbo	9209	064	GCF_000708925.1_ASM70892v1_cds_from_genomic.fna.gz
Aptenodytes_forsteri	9233	065	GCF_000699145.1_ASM69914v1_cds_from_genomic.fna.gz
Aptenodytes_patagonicus	9234	066	GCA_010087175.1_BGI_Apat.V1_cds_from_genomic.fna.gz
Pygoscelis_adeliae	9238	067	GCF_000699105.1_ASM69910v1_cds_from_genomic.fna.gz
Spheniscus_humboldti	9240	068	GCA_010076325.1_BGI_Shum.V1_cds_from_genomic.fna.gz
Calypte_anna	9244	069	GCF_003957555.1_bCalAnn1_v1.p_cds_from_genomic.fna.gz
Ornithorhynchus_anatinus	9258	070	GCF_004115215.1_mOrnAna1.p.v1_cds_from_genomic.fna.gz
Sarcophilus_harrisii	9305	071	GCF_902635505.1_mSarHar1.11_cds_from_genomic.fna.gz
Dasypus_novemcinctus	9361	072	GCF_000208655.1_Dasnov3.0_cds_from_genomic.fna.gz
Erinaceus_europaeus	9365	073	GCF_000296755.1_EriEur2.0_cds_from_genomic.fna.gz
Echinops_telfairi	9371	074	GCF_000313985.2_ASM31398v2_cds_from_genomic.fna.gz
Pteropus_alecto	9402	075	GCF_000325575.1_ASM32557v1_cds_from_genomic.fna.gz
Rousettus_aegyptiacus	9407	076	GCF_001466805.2_Raegyp2.0_cds_from_genomic.fna.gz
Desmodus_rotundus	9430	077	GCF_002940915.1_ASM294091v2_cds_from_genomic.fna.gz
Callithrix_jacchus	9483	078	GCF_000004665.1_Callithrix_jacchus-3.2_cds_from_genomic.fna.gz
Sapajus_apella	9515	079	GCF_009761245.1_GSC_monkey_1.0_cds_from_genomic.fna.gz
Cebus_capucinus	9516	080	GCF_001604975.1_Cebus_imitator-1.0_cds_from_genomic.fna.gz
Cercocebus_atys	9531	081	GCF_000955945.1_Caty_1.0_cds_from_genomic.fna.gz
Macaca_fascicularis	9541	082	GCF_000364345.1_Macaca_fascicularis_5.0_cds_from_genomic.fna.gz
Macaca_mulatta	9544	083	GCF_003339765.1_Mmul_10_cds_from_genomic.fna.gz
Macaca_nemestrina	9545	084	GCF_000956065.1_Mnem_1.0_cds_from_genomic.fna.gz
Papio_anubis	9555	085	GCF_008728515.1_Panubis1.0_cds_from_genomic.fna.gz
Theropithecus_gelada	9565	086	GCF_003255815.1_Tgel_1.0_cds_from_genomic.fna.gz
Mandrillus_leucophaeus	9568	087	GCF_000951045.1_Mleu.le_1.0_cds_from_genomic.fna.gz
Gorilla_gorilla	9593	088	GCF_008122165.1_Kamilah_GGO_v0_cds_from_genomic.fna.gz
Pan_paniscus	9597	089	GCF_000258655.2_panpan1.1_cds_from_genomic.fna.gz
Pan_troglodytes	9598	090	GCF_002880755.1_Clint_PTRv2_cds_from_genomic.fna.gz
Pongo_abelii	9601	091	GCF_002880775.1_Susie_PABv2_cds_from_genomic.fna.gz
Homo_sapiens	9606	092	GCF_000001405.39_GRCh38.p13_cds_from_genomic.fna.gz
Canis_lupus	9612	093	GCF_000002285.3_CanFam3.1_cds_from_genomic.fna.gz
Vulpes_vulpes	9627	094	GCF_003160815.1_VulVul2.2_cds_from_genomic.fna.gz
Ursus_arctos	9644	095	GCF_003584765.1_ASM358476v1_cds_from_genomic.fna.gz
Ailuropoda_melanoleuca	9646	096	GCF_000004335.2_AilMel_1.0_cds_from_genomic.fna.gz
Mustela_putorius	9668	097	GCF_000215625.1_MusPutFur1.0_cds_from_genomic.fna.gz
Crocuta_crocuta	9678	098	GCA_008692635.1_BGI_CrCroc_1.0_cds_from_genomic.fna.gz
Felis_catus	9685	099	GCF_000181335.3_Felis_catus_9.0_cds_from_genomic.fna.gz
Panthera_pardus	9691	100	GCF_001857705.1_PanPar1.0_cds_from_genomic.fna.gz
Panthera_tigris	9694	101	GCF_000464555.1_PanTig1.0_cds_from_genomic.fna.gz
Puma_concolor	9696	102	GCF_003327715.1_PumCon1.0_cds_from_genomic.fna.gz
Zalophus_californianus	9704	103	GCF_900631625.1_zalCal2.2_cds_from_genomic.fna.gz
Odobenus_rosmarus	9707	104	GCF_000321225.1_Oros_1.0_cds_from_genomic.fna.gz
Leptonychotes_weddellii	9713	105	GCF_000349705.1_LepWed1.0_cds_from_genomic.fna.gz
Mirounga_leonina	9715	106	GCA_011800145.1_KU_Mleo_1.0_cds_from_genomic.fna.gz
Phoca_vitulina	9720	107	GCF_004348235.1_GSC_HSeal_1.0_cds_from_genomic.fna.gz
Globicephala_melas	9731	108	GCF_006547405.1_ASM654740v1_cds_from_genomic.fna.gz
Orcinus_orca	9733	109	GCF_000331955.2_Oorc_1.1_cds_from_genomic.fna.gz
Tursiops_truncatus	9739	110	GCF_001922835.1_NIST_Tur_tru_v1_cds_from_genomic.fna.gz
Delphinapterus_leucas	9749	111	GCF_002288925.2_ASM228892v3_cds_from_genomic.fna.gz
Physeter_catodon	9755	112	GCF_002837175.2_ASM283717v2_cds_from_genomic.fna.gz
Balaenoptera_acutorostrata	9767	113	GCF_000493695.1_BalAcu1.0_cds_from_genomic.fna.gz
Balaenoptera_physalus	9770	114	GCA_008795845.1_Baphy_cds_from_genomic.fna.gz
Trichechus_manatus	9778	115	GCF_000243295.1_TriManLat1.0_cds_from_genomic.fna.gz
Loxodonta_africana	9785	116	GCF_000001905.1_Loxafr3.0_cds_from_genomic.fna.gz
Equus_asinus	9793	117	GCF_001305755.1_ASM130575v1_cds_from_genomic.fna.gz
Equus_caballus	9796	118	GCF_002863925.1_EquCab3.0_cds_from_genomic.fna.gz
Equus_przewalskii	9798	119	GCF_000696695.1_Burgud_cds_from_genomic.fna.gz
Ceratotherium_simum	9807	120	GCF_000283155.1_CerSimSim1.0_cds_from_genomic.fna.gz
Orycteropus_afer	9818	121	GCF_000298275.1_OryAfe1.0_cds_from_genomic.fna.gz
Sus_scrofa	9823	122	GCF_000003025.6_Sscrofa11.1_cds_from_genomic.fna.gz
Camelus_bactrianus	9837	123	GCF_000767855.1_Ca_bactrianus_MBC_1.0_cds_from_genomic.fna.gz
Camelus_dromedarius	9838	124	GCF_000803125.2_CamDro3_cds_from_genomic.fna.gz
Cervus_elaphus	9860	125	GCA_002197005.1_CerEla1.0_cds_from_genomic.fna.gz
Odocoileus_virginianus	9874	126	GCF_002102435.1_Ovir.te_1.0_cds_from_genomic.fna.gz
Muntiacus_reevesi	9886	127	GCA_008787405.1_UCB_Mree_1.0_cds_from_genomic.fna.gz
