OG_id,SimuID,ali_len,num_invar_sites,num_var_sites,mean_alphabet_size,median_alphabet_size,max_ld,mean_ld,median_ld,var_ld,dim_ur,dim_CI_ur,dim_R^2_ur,dim_range_end_ur,dim_range_start_ur,n_seq_from_dim_log10,n_seq_from_dim_log20,n_seq_from_dim_log_alpha,log10_nseq_ci,log20_nseq_ci,n_seq_bin_expected_from_dn/ds_log20,n_seq_bin_expected_from_usage_log20,n_seq_expected_from_dn/ds_log20,n_seq_expected_from_usage_log20,n_seq_diff_dnds_log10,n_seq_diff_dnds_log20,n_seq_diff_usage_log10,n_seq_diff_usage_log20,dnds_mean,dnds_median,dnds_var,dn_mean,dn_median,dn_var,ds_mean,ds_median,ds_var,filt_length,frac_NA,frac_SE_high,frac_dS<0.1,frac_dS>0.8,orig_length,dnds_from_usage,dnds_from_usage_cons,nodes,branch_length_distr,fraction_allowed_subs,gamma,mode,replicate,run,suffix,tree_len_scale,dnds_mean_tree,dnds_median_tree,dnds_var_tree,nonsyn_subs_count,syn_subs_count,total_treelength,integral_b0,norm_integral_b0
ali_tree_0.05_exp_100_continuousF.longleaves.run3_f0.098_fnum28_0,SimuOG2850,300,0,300.0,8.303,8.0,0.57,0.3341206920847268,0.34,0.0066305686423838,3.826,0.139,0.997,0.7,0.2,8.54344311836038,6.566676515402113,9.460234573984481,0.31038645934450937,0.23856979499239253,27.487801791919978,204.0435447861252,-21.349693596763206,208.24039184378327,27.219011527793644,20.921125276517863,256.9233290699955,197.4768682707231,0.0404,0.0399,0.0002,0.0225,0.0232,0.0001,0.5636,0.5866,0.0331,81.0,0.0,0.0,0.0,0.9982,44850.0,0.3843684210526316,1.0432857142857144,leaves,exp,0.098,100.0,tree,28,longleaves,continuousF.longleaves.run3,0.05,0.04521,0.04494,2e-05,6243,34509,40752,27.4767,63.5436
ali_tree_0.05_exp_0_continuousF.longleaves.run3_f0.627_fnum29_0,SimuOG2073,300,0,300.0,10.6,11.0,0.90333,0.7322275056856186,0.74667,0.0073269796666903,7.87,0.605,0.986,0.95,0.45,19.14745570699014,14.717151618951128,18.386393509265865,1.471945451426815,1.1313693430070435,239.29323893891817,237.92475683757166,241.43358114081357,240.1311319406014,292.1802259121306,224.57608731996703,290.3997896497495,223.20760521862053,0.5572,0.5494,0.0104,0.3142,0.3218,0.0122,0.5698,0.6155,0.0328,1754.0,0.0,0.0,0.0004,0.9605,44850.0,0.5052631578947369,1.3714285714285714,leaves,exp,0.627,0.0,tree,29,longleaves,continuousF.longleaves.run3,0.05,0.60685,0.60256,0.0022,26021,12027,38048,94.44,114.416
ali_tree_0.05_exp_1_continuousF.longleaves.run3_f0.266_fnum29_0,SimuOG4689,300,5,295.0,5.78,6.0,0.65,0.4895466370122631,0.5,0.0041825843591362,6.599,0.435,0.99,0.9,0.4,15.111938400381256,11.61536509592069,19.42030985998002,0.9961650559426952,0.7656741652864828,122.22533168943502,172.76365965000718,132.15001615812264,179.43120135055315,143.90688435755305,110.60996659351433,209.65876496496114,161.1482945540865,0.1871,0.1827,0.0019,0.0958,0.0946,0.001,0.5268,0.5413,0.0287,393.0,0.0,0.0,0.0,0.9912,44850.0,0.251578947368421,0.6828571428571429,leaves,exp,0.266,1.0,tree,29,longleaves,continuousF.longleaves.run3,0.05,0.22379,0.22384,0.00027,16640,21340,37980,58.5567,106.586
ali_tree_0.05_exp_10_continuousF.longleaves.run3_f0.620_fnum29_0,SimuOG3870,300,0,300.0,15.377,16.0,0.93667,0.7488909670011149,0.76667,0.0091399840445699,7.205,0.349,0.995,0.9,0.4,17.642940170454086,13.560748198929883,14.652144657162065,0.8545990450365685,0.6568634450279707,245.3530179903793,276.998698842124,247.21246607493347,277.653855791711,301.5686957617138,231.79226979144943,342.7406757830429,263.4379506431941,0.5903,0.5813,0.0133,0.3531,0.3565,0.0147,0.6004,0.6478,0.0282,2380.0,0.0,0.0,0.0001,0.9468,44850.0,0.7566842105263158,2.053857142857143,leaves,exp,0.62,10.0,tree,29,longleaves,continuousF.longleaves.run3,0.05,0.56884,0.56576,0.0021,26546,14107,40653,97.06,115.735
ali_tree_0.05_exp_100_continuousF.longleaves.run3_f0.325_fnum29_0,SimuOG2913,300,0,300.0,14.447,15.0,0.92,0.7051421005574137,0.72333,0.0107620766920937,6.203,0.314,0.994,0.9,0.4,15.140959036050546,11.63767098876406,12.873966131002174,0.7664454517684783,0.5891066726538634,169.46623530423696,270.3137670541621,176.41534868202723,271.1908095067699,205.3396963470121,157.8285643154729,336.5453601423404,258.67609606539804,0.2911,0.2814,0.005,0.1594,0.1576,0.0047,0.5494,0.5795,0.0331,575.0,0.0,0.0,0.0,0.9872,44850.0,0.7077368421052631,1.921,leaves,exp,0.325,100.0,tree,29,longleaves,continuousF.longleaves.run3,0.05,0.29189,0.29156,0.00033,19188,19802,38990,75.8834,95.5962
ali_tree_0.05_exp_0_continuousF.longleaves.run3_f0.665_fnum30_0,SimuOG2088,300,1,299.0,11.377,11.0,0.92,0.7562311694537348,0.77667,0.0079696689835576,7.544,0.467,0.991,0.95,0.45,18.414218115100002,14.153569230894094,17.682300228853844,1.1399045413244568,0.8761554653801091,244.74729581797376,237.92475683757166,246.63399969460815,240.1311319406014,300.0093551017295,230.59372658707966,291.13302724163964,223.77118760667756,0.5869,0.5785,0.013,0.344,0.3416,0.0136,0.589,0.6279,0.0277,2225.0,0.0,0.0,0.0002,0.9502,44850.0,0.5461578947368422,1.4824285714285714,leaves,exp,0.665,0.0,tree,30,longleaves,continuousF.longleaves.run3,0.05,0.67399,0.67373,0.00318,26946,12099,39045,97.88,114.878
ali_tree_0.05_exp_1_continuousF.longleaves.run3_f0.516_fnum30_0,SimuOG4749,300,0,300.0,10.967,11.0,0.9,0.7215594416945372,0.74,0.008186542325628,7.117,0.41,0.992,0.95,0.45,17.304015909519514,13.300243627886843,16.616225710180025,0.9968591433051848,0.7662076559552627,212.32891398778145,237.92475683757166,215.97063828583214,240.1311319406014,258.94227013534163,199.0286703598946,292.2432294472202,224.62451320968484,0.4321,0.4234,0.0076,0.2377,0.2424,0.0076,0.5557,0.5919,0.0316,978.0,0.0,0.0,0.0001,0.9781,44850.0,0.524578947368421,1.423857142857143,leaves,exp,0.516,1.0,tree,30,longleaves,continuousF.longleaves.run3,0.05,0.47893,0.4804,0.00094,25659,15390,41049,91.1501,111.296
ali_tree_0.05_exp_10_continuousF.longleaves.run3_f0.695_fnum30_0,SimuOG3894,300,0,300.0,16.167,16.0,0.96,0.7801938546265329,0.79667,0.0080121770528074,7.852,0.613,0.986,0.95,0.45,19.311149813885482,14.842970475888242,16.037562777831262,1.5076075949964085,1.1587800435200575,256.62591138426757,276.998698842124,258.00921344355305,277.653855791711,314.56685856165336,241.78294090837932,341.07246613961155,262.15572836623573,0.6575,0.6475,0.0158,0.3922,0.4002,0.0192,0.5968,0.6496,0.0299,2313.0,0.0,0.0,0.0002,0.9482,44850.0,0.7982631578947369,2.166714285714286,leaves,exp,0.695,10.0,tree,30,longleaves,continuousF.longleaves.run3,0.05,0.65361,0.65372,0.00208,27731,12632,40363,100.94,114.0
ali_tree_0.05_exp_100_continuousF.longleaves.run3_f0.224_fnum30_0,SimuOG2877,300,0,300.0,12.967,13.0,0.89333,0.6350107866220737,0.65,0.0123529575493923,5.195,0.224,0.996,0.85,0.35,12.614151836457012,9.695511924011694,11.323871909944693,0.5439018308693687,0.41805479710849264,104.52694401400007,255.4291738875094,113.94539610893081,256.86033896666663,123.3785376808467,94.83143208998837,319.70686515886365,245.7336619634977,0.156,0.1513,0.0013,0.0825,0.0847,0.0009,0.537,0.5631,0.0312,231.0,0.0,0.0,0.0,0.9948,44850.0,0.6298421052631579,1.7095714285714287,leaves,exp,0.224,100.0,tree,30,longleaves,continuousF.longleaves.run3,0.05,0.18027,0.1809,0.00015,15635,23585,39220,61.7,82.027
ali_tree_0.05_exp_0_continuousF.longleaves.run3_f0.299_fnum31_0,SimuOG2010,300,45,255.0,4.29,4.0,0.62667,0.4723470903010033,0.48,0.0034463423024857,7.186,0.594,0.984,0.9,0.4,16.342114904978203,12.560905559012879,27.143665316362306,1.350851134644733,1.0382936128658014,138.45108901355903,129.06212674426303,147.77801761008874,138.8269278958555,163.78690483400598,125.89018345454615,151.5715832934945,116.50122118525015,0.2187,0.2138,0.0018,0.1152,0.1167,0.0014,0.5388,0.5538,0.032,532.0,0.0,0.0,0.0,0.9881,44850.0,0.1731578947368421,0.47,leaves,exp,0.299,0.0,tree,31,longleaves,continuousF.longleaves.run3,0.05,0.24203,0.24159,0.00031,16699,19906,36605,60.5167,110.9
